Float,Weapon Name,Skin Name,Single Cost ($),10x Cost ($),Average Profit ($),Net Profit ($),Net Profit After Steam ($),ROI %
0.18,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.18,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.18,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.19,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.19,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.19,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.19,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.19,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.19,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.19,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.19,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.19,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.19,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.2,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.2,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.2,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.2,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.2,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.2,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.2,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.2,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.2,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.2,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.21,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.21,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.21,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.21,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.21,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.21,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.21,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.21,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.21,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.21,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.22,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.22,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.22,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.22,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.22,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.22,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.22,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.22,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.22,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.22,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.23,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.23,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.23,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.23,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.23,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.23,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.23,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
