itemID,itemType,itemMarketName,medianPrice
176104734,Agent,★ StatTrak™ Paracord Knife | Case Hardened (Field-Tested),253.75
176112957,Agent,★ StatTrak™ Paracord Knife | Forest DDPAT (Factory New),274.41
176114611,Agent,★ StatTrak™ Skeleton Knife | Safari Mesh (Minimal Wear),297.13
176107743,Agent,★ StatTrak™ Stiletto Knife | Night Stripe (Factory New),271.83
2403708,Agent,Souvenir SG 553 | Waves Perforated (Factory New),20.62
176118278,Agent,P2000 | Acid Etched (Factory New),2.16
176118291,Agent,StatTrak™ SCAR-20 | Enforcer (Field-Tested),1.01
176118360,Agent,StatTrak™ AUG | Tom Cat (Factory New),1.63
176118319,Agent,Glock-18 | Bullet Queen (Well-Worn),7.06
176118330,Agent,StatTrak™ MP5-SD | Desert Strike (Well-Worn),0.13
176118313,Agent,StatTrak™ SG 553 | Darkwing (Field-Tested),1.09
176118305,Agent,StatTrak™ P2000 | Acid Etched (Battle-Scarred),0.76
176118399,Agent,StatTrak™ Negev | Prototype (Factory New),0.88
176118400,Agent,StatTrak™ Sawed-Off | Apocalypto (Well-Worn),0.8
176118323,Agent,SCAR-20 | Enforcer (Battle-Scarred),0.39
176118369,Agent,StatTrak™ Desert Eagle | Blue Ply (Well-Worn),0.69
176118408,Agent,StatTrak™ SCAR-20 | Enforcer (Minimal Wear),1.9
176118297,Agent,CZ75-Auto | Distressed (Well-Worn),0.07
176118367,Agent,StatTrak™ MP5-SD | Desert Strike (Field-Tested),0.14
176118314,Agent,AWP | Capillary (Factory New),2.23
176118294,Agent,StatTrak™ P2000 | Acid Etched (Well-Worn),0.81
176118454,Agent,StatTrak™ MAC-10 | Disco Tech (Minimal Wear),15.79
176118451,Agent,StatTrak™ Negev | Prototype (Well-Worn),0.26
176118391,Agent,Negev | Prototype (Well-Worn),0.07
176118402,Agent,StatTrak™ AUG | Tom Cat (Battle-Scarred),0.15
176118384,Agent,StatTrak™ MP5-SD | Desert Strike (Factory New),1.56
176118377,Agent,StatTrak™ Sawed-Off | Apocalypto (Field-Tested),1.04
176118373,Agent,MAC-10 | Disco Tech (Factory New),20.41
176118419,Agent,StatTrak™ SSG 08 | Fever Dream (Factory New),8.14
176118375,Agent,StatTrak™ AWP | Capillary (Battle-Scarred),1.25
176118407,Agent,Glock-18 | Bullet Queen (Field-Tested),10.31
176118397,Agent,StatTrak™ SSG 08 | Fever Dream (Minimal Wear),3.74
176118428,Agent,StatTrak™ Sawed-Off | Apocalypto (Battle-Scarred),0.74
176118464,Agent,StatTrak™ Sawed-Off | Apocalypto (Factory New),5.36
176118364,Agent,MAC-10 | Disco Tech (Battle-Scarred),1.9
176118365,Agent,StatTrak™ R8 Revolver | Bone Forged (Battle-Scarred),0.14
176118355,Agent,StatTrak™ SG 553 | Darkwing (Minimal Wear),2.21
176118346,Agent,StatTrak™ SG 553 | Darkwing (Well-Worn),0.82
176118350,Agent,MAC-10 | Disco Tech (Well-Worn),2.46
176118343,Agent,StatTrak™ AWP | Capillary (Field-Tested),1.23
176118302,Agent,P2000 | Acid Etched (Field-Tested),0.53
176118295,Agent,StatTrak™ AWP | Capillary (Minimal Wear),2.12
176118320,Agent,MAC-10 | Disco Tech (Field-Tested),3.31
176118322,Agent,SSG 08 | Fever Dream (Factory New),2.25
176118382,Agent,Glock-18 | Bullet Queen (Minimal Wear),19.25
176118317,Agent,Sawed-Off | Apocalypto (Minimal Wear),0.89
176118286,Agent,SCAR-20 | Enforcer (Field-Tested),0.55
176118338,Agent,SCAR-20 | Enforcer (Minimal Wear),0.89
176118340,Agent,P2000 | Acid Etched (Minimal Wear),0.88
176118309,Agent,SG 553 | Darkwing (Well-Worn),0.41
176118296,Agent,Desert Eagle | Blue Ply (Battle-Scarred),0.12
176118336,Agent,P2000 | Acid Etched (Battle-Scarred),0.39
176118386,Agent,Sawed-Off | Apocalypto (Battle-Scarred),0.39
176118300,Agent,StatTrak™ Negev | Prototype (Field-Tested),0.14
176118277,Agent,StatTrak™ AUG | Tom Cat (Field-Tested),0.15
176118342,Agent,StatTrak™ SSG 08 | Fever Dream (Field-Tested),1.64
176118366,Agent,AUG | Tom Cat (Factory New),0.35
176118316,Agent,StatTrak™ Desert Eagle | Blue Ply (Battle-Scarred),0.69
176118293,Agent,Sawed-Off | Apocalypto (Field-Tested),0.5
176118395,Agent,StatTrak™ AK-47 | Phantom Disruptor (Field-Tested),15.54
